,Comment,Website,Sentiment,company
39,"Vi goes up to 60 Mbps, so always like it.",youtube,1,Vodafone
40,"True, Vi 4G is very fast.",youtube,1,Vodafone
41,My Jio 5G speed is 800 Mbps on average.,youtube,1,Vodafone
42,"It would be a big deal if I could even make a call with my Vi, and I don't expect much from the internet. But here, Airtel and Jio 5G give around 250 Mbps speed.",youtube,-1,Vodafone
43,"At my location, I get up to 150 Mbps speed on the Jio 5G SIM.",youtube,1,Vodafone
44,"Not true, my Airtel 4G gives 50-60 Mbps download speeds.",youtube,-1,Vodafone
45,"I know, use Jio 5G also, but I am talking about 4G. If you compare it with Jio 4G, then Vi will win.",youtube,1,Vodafone
46,"I have both; Vi speed is 4 Mbps, and Jio 5G speed is 30 Mbps.",youtube,-1,Vodafone
47,"I know Vi 4G is faster, but Jio 4G has more traffic than Vi, so of course, it will be slower. But they are saying that 4G is faster than 5G.",youtube,1,Vodafone
48,"I used Vodafone SIM and threw it away, now I'm using Airtel.",youtube,-1,Vodafone
49,"It just depends on area coverage and network strength; some SIM cards work best in some areas, and some don't.",youtube,1,Vodafone
50,Vi’s real download speed is 9 Mbps.,youtube,-1,Vodafone
51,"Bruh, I use Jio 4G on a 2020 4G device (using it for 4 years), and I usually get 7 MBps, sometimes 11 MBps if the servers are good.",youtube,1,Vodafone
52,My download speed is 300 Mbps to 1 Gbps. Does your 4G give this much speed?,youtube,1,Vodafone
53,"Yeah, bro, I received up to 70 Mbps connection speed in Vi 4G.",youtube,1,Vodafone
54,"My Vi also drops calls, but the internet works fine.",youtube,-1,Vodafone
55,I normally get 7-8 MBps (or 56-64 Mbps) downloading speed from Vi.,youtube,1,Vodafone
56,"If there are fewer users, the speed will be good, right?",youtube,1,Vodafone
57,And Jio 4G speed is 800 kbps to 1.5 or 2 Mbps.,youtube,1,Vodafone
58," bro, I got approximately 30 Mbps in Airtel 5G Plus, but in Vi 4G, I only get a maximum of 10-12 Mbps.",youtube,1,Vodafone
59,Jio's 4G + goes up to 90 Mbps at night and stays at 30 Mbps during the day. And Vodafone doesn't even support 4G+.,youtube,-1,Vodafone
60,buy a 5G phone; saying 4G is better than 5G won't change anything.,youtube,1,Vodafone
61,"I am a Vi user and a happy Vi user, but comparing 4G to 5G is something else.",youtube,1,Vodafone
62,"I am on Jio 5G, getting 700 Mbps to 1 Gbps speed after 12 AM.",youtube,1,Vodafone
63,"So true, man. I get 10-11 Mbps on Vi 4G, while 19-25 Mbps on Airtel 5G. By the way, I am talking about Mbps, not MBps.",youtube,-1,Vodafone
64,I get 280+ Mbps speeds from Jio 5G,youtube,1,Vodafone
65,"Yes, I have Vi, and my roommate has Jio 5G, and his internet speed is far slower than my 4G. Also, a friend who lives in the same building has Jio and always complains about it. I have a dual SIM, one Vi, one Jio. Vi internet works great, but Jio sucks. I only recharge Jio because when I travel, it helps me due to its wide network availability.",youtube,1,Vodafone
66, I work from home using Vi internet very comfortably.,youtube,1,Vodafone
67,"Not true, in Pune, I get crap speed even with full range.",youtube,-1,Vodafone
68, I have Airtel 5G; I get 50/70 Mbps download speed.,youtube,1,Vodafone
69,"Vi speed goes up to 8 MBps, and my Jio 5G goes up to 80 MBps.",youtube,-1,Vodafone
70,"Even I do get a good 50-60 Mbps speed of Vi in Mumbai and a good stable network with better call quality, at least better than Airtel",youtube,1,Vodafone
71,"Yes, brother, Vi is the best. I also use a Vi 4G SIM, still better than Airtel and Jio.",youtube,1,Vodafone
72,You can check on YouTube about the speed of 4G+ in Vi.,youtube,1,Vodafone
73,"Bro, Jio’s 5G goes up to 500 Mbps, and Airtel too. I haven't used Vi since 2016, but I had a terrible experience, so I never went back.",youtube,-1,Vodafone
74,"@adhirajjashonline I always get the Vi 365 days plan. Night unlimited, weekdays data carry forward. I download HD games and movies via torrents on my phone. Played Assassin’s Creed, Farcry, RDR2, Sniper Ellie, Hitman, everything.




",youtube,1,Vodafone
75,Watching this as a german. This speeds are a dream. The speed of my Wifi is only 50mbits.,instagram,-1,Vodafone
76,Lmao someone needs to do some cable management in their closet ,instagram,-1,Vodafone
77,You’re always going to be limited by where you’re pulling files from. If you saw that 10gb file you were downloading was from Germany. How far the data has to travel has a lot to do with your overall speed.,instagram,-1,Vodafone
78,By watching ur video i can understand u dont know anything,instagram,-1,Vodafone
79,"US people are such an inspiration, they can live with such slow speeds. Here in India everyone is on 1Gbps and still want more😢😢.",instagram,-1,Vodafone
80,I am happy with my 100 mbps as long as there is no disconnections.,instagram,1,Vodafone
81,i am also very happy with my jio 5g . it is very cheap.. only 395 rupees for 84 days for unlimited 5g only . with 6b 4g data,instagram,-1,Vodafone
82,Merge waves of 10-15 routers then you will get 10gbps,instagram,-1,Vodafone
83,This is speed like Come to India and see the magic. ,instagram,1,Vodafone
84,bro why you didnt tried with cat-8 cable.if u tried max problem resolved.instead of using free download manager use neat download manager.if u seen this must replyz,instagram,-1,Vodafone
85,200 mbps plan is more than enough,instagram,1,Vodafone
86,"My village in India have Almost 
1 gbps mobile data in jio 5g",instagram,-1,Vodafone
87,Worst that's website server limitations,instagram,-1,Vodafone
88,And my internet still ,instagram,-1,Vodafone
89,Verizon 5G averages at 3 - 5 GBPS,instagram,-1,Vodafone
90,In india your lan port output is 1gbps max,instagram,-1,Vodafone
91,In India Jio 5g cellular is much more faster than this Ethernet . Is it us unbelievable,instagram,-1,Vodafone
92,There are very few websites that supports internet speed beyond 200-300mbps.    So no need to go beyond 200mbps plans.   Only if there are multiple users 1gbps plan is good then.,instagram,-1,Vodafone
93,Use idm,instagram,-1,Vodafone
94,Talk in Hindi,instagram,1,Vodafone
95,Both comapny provide best service but plan rate is high,instagram,-1,Vodafone
96,Both comapny is good but vi is also good,instagram,1,Vodafone
97,Network speed to thik thak hai....isse zyada nahi hona chahiye nahi to technology to upgrade hota rehega lekin kisi prani ke liye survive kar pana mushkil ho jayega,instagram,-1,Vodafone
98,"Vi best benefits..❤
1....weekend data rollover.
2...12 to 6am. unlimited data.
3..data delight  2gb free data monthly..
Vi best 👌 ❤",instagram,1,Vodafone
99,Vi ma 68 downloads and upload 22 mbps 4g Gujarat,instagram,-1,Vodafone
100,Love how this YouTuber dives deep into gadget applications and shares such insightful tech knowledge and tips! Always learning something new with each video ❤,instagram,1,Vodafone
101,Informative video,instagram,1,Vodafone
102,Thrilled to announce that #MiMIX3 5G is the first #5G smartphone to be sold by Vodafone Italy. 5G a tutto schermo! 😎Mi Fans can start to experience the speed and efficiency of 5G. Welcome to the future... We're just getting started. ⚡️⚡️#Xiaomi #5GisHere #MondayMotivation https://t.co/EVf0kqhj7z,twitter,1,Vodafone
103,"Vodafone Spain announced Monday that it will launch commercial 5G services in 15 cities across Spain, where Huawei has been responsible for 65% of the 5G network of Vodafone's Spanish subsidiary. Spain will become the 2nd European country with commercial 5G service. https://t.co/MHREHpOKBn",twitter,1,Vodafone
104,#VODAFONE #5G en el MonitorindDay #MMD19 https://t.co/C6MwcxMMcB,twitter,-1,Vodafone
105,"Vodafone will activate its 5G Network in #Birmingham on 3 July 2019. The network will go live in seven cities across the UK including Glasgow, London, Manchester, Liverpool, Cardiff and Bristol. https://t.co/Jsy669o6b9",twitter,1,Vodafone
106,"🏁 Q1 of the Vodafone 5G #ESLMobileOpen is live on iOS! Hit the ""Daily Events"" section in the app and look for our logo.#playfaster in the streets of Rome to qualify for @MilanGamesWeek!More details: https://t.co/RCQ675FwT9 https://t.co/aHsc5DiiF8",twitter,-1,Vodafone
107,Vodafone Demonstrates 5G Power https://t.co/O881zN7bFS,twitter,1,Vodafone
108,"Outcome of 5G spectrum auction after 497 rounds of bidding is credit neg for rated telecoms operators in Germany b/c of hefty final price tag, Moody’s says.  Deutsche Telekom, Vodafone, Telefonica and 1&amp;1 Drillisch have agreed to pay combined €6.55bn for the available spectrum. https://t.co/jjGJFyYuhz",twitter,-1,Vodafone
109,#5G-Technologie macht's möglich: Noemi Ristau ist sehbehindert &amp; fährt trotzdem jede Skipiste runter. Jetzt konnte sie erstmals alleine fahren. Wow! Wie sie das gemacht hat &amp; was das mit @vodafone_de zu tun hat? Erlebt es selbst. Mich hat es sehr berührt. https://t.co/CrQOIIcRtS https://t.co/5ljUq9OYZc,twitter,-1,Vodafone
110,"Por favor, que alguien le explique a @vodafone_es qué Murcia es el 7º municipio de España por número de habitantes. 465.000. #masrespetoporMurcia. Yo también quiero 5G https://t.co/eYTPW5u8NU",twitter,-1,Vodafone
111,Fantástica @LuzCasalOficial anunciando el #5G de @vodafone_es A la velocidad de la Luz con un total look de #malne presentado en @MBFWMadrid #youready https://t.co/apO4tqlBWb,twitter,-1,Vodafone
112,Zum ersten Mal seit ihrer Erblindung fährt die sehbehinderte Skifahrerin Noemi Ristau alleine eine Piste hinab. Möglich macht das Vodafones 5G Ready-Technologie. #TheFutureIsExciting #5Ghttps://t.co/UFAZ5AWrDq,twitter,-1,Vodafone
113,El #5G arranca en España: Cuatro claves para entender la estrategia de @Vodafone_es 🗣 @naciocastillo 📹 @tamara_vazquez https://t.co/rignf4DcZI,twitter,-1,Vodafone
114,Hoy he estado en @InformativosTM hablando de 5G que lanza mañana @vodafone_es https://t.co/LzGt7bZFsr https://t.co/OIgbymG9Jc,twitter,-1,Vodafone
115,"United Kingdom telecom operator Vodafone will launch its #5G network services in 15 Spanish cities, including Madrid and Barcelona, on Saturday in cooperation with Chinese tech company #Huawei.",twitter,1,Vodafone
116,"🇪🇸#Spain's first commercial #5G 📱 network is set to be launched by #Vodafone Spain in collaboration with #Huawei on Sat. The service will cover 15 cities such as Madrid, Barcelona, Valencia, Seville, Malaga, Zaragoza, Bilbao, Vitoria etc. https://t.co/oHY5GVRUo9",twitter,-1,Vodafone
117,"Bienvenido a España, 5G.#5G desarrollará nuevas tecnologías y soluciones que todavía hoy ni imaginamos. Mejorará nuestra calidad de vida, el crecimiento de nuestras empresas y nos acercará a un futuro que es apasionante.Ready? https://t.co/0eKnkaoIp9 #Vodafone5G https://t.co/CO9H0drlor",twitter,-1,Vodafone
118,"#Huawei helped local carrier #Vodafone launch its #5G network in 15 cities #Spain on Saturday, the first European country to do so. https://t.co/U2fCD5HzJE",twitter,1,Vodafone
119,#Vodafone's 5G service in Spain uses #Huawei gear https://t.co/xLhaO6wjk6 https://t.co/IYG9YAUicD,twitter,-1,Vodafone
120,Vodafone launches first 5G network in Spain in cooperation with @Huawei https://t.co/CcNByZJAI4 https://t.co/qThb4biEHP,twitter,1,Vodafone
121,"Vodafone España lanza 5G comercial en 15 ciudades españolas y la novedad es la mayor velocidad de descarga. El resto Visualización por streaming, plataforma de videjuego, YouTube 8K, subir archivos, descargar apps, es la misma experiencia de la red 4G #efectovodafone #5G https://t.co/FeZJ6MaBBD",twitter,-1,Vodafone
122,"In cooperation with Chinese telecom giant Huawei, Vodafone Espana rolled out the first commercial 5G mobile services in Spain, making it one of the first European countries with the ultrafast mobile network. Click to check out what local people say https://t.co/nT5XBrU8Ir",twitter,1,Vodafone
123,Vodafone lance le premier réseau 5G en Espagne en coopération avec Huawei. L'Espagne devient ainsi l'un des premiers pays européens à être doté d'un réseau de téléphonie mobile ultra-rapide. https://t.co/hkYrQz6LTO https://t.co/H4tSdos5Ta,twitter,-1,Vodafone
124,"British telecommunications giant Vodafone's 5G rollout in Spain in cooperation with Huawei gained support from experts and industry insiders, who said the technology will revolutionize the way we live https://t.co/Pm993fqP9E https://t.co/46nBTe8Jyi",twitter,1,Vodafone
125,Vodafone 5G #ESLMobileOpen es el primer torneo internacional 5G de videojuegos móviles del mundo 📲 #PlayFasterEl siguiente clasificatorio online de Asphalt 9 Legends se celebra el lunes 24/06.Apúntate aquí: https://t.co/NFuOF8Xstihttps://t.co/a7BzQ1Mc2a,twitter,-1,Vodafone
126,"🏁 After the excitement of Q1, next week Android users will have the chance to tackle the streets of Rome for a place in the Vodafone 5G #ESLMobileOpen Grand Finals!Full info + rules: https://t.co/iaHTa7WGf7 https://t.co/CS9CWkS15M",twitter,1,Vodafone
127,"RT ESL: RT ESLAsphalt: 🏁 After the excitement of Q1, next week Android users will have the chance to tackle the streets of Rome for a place in the Vodafone 5G #ESLMobileOpen Grand Finals!Full info + rules: https://t.co/6lXtiE3pFA https://t.co/gW6DIYiod1",twitter,-1,Vodafone
128,"Smokes, cars and chicken dinners aplenty.... Q3 of the Vodafone 5G #ESLMobileOpen June Cup was pure 🔥. @verdipwnz takes us through this week's top plays! https://t.co/siQ0z4xUDG",twitter,1,Vodafone
129,"RT ESL: RT ESLPUBGMobile: Smokes, cars and chicken dinners aplenty.... Q3 of the Vodafone 5G #ESLMobileOpen June Cup was pure 🔥. verdipwnz takes us through this week's top plays! https://t.co/YI9jVT77bc",twitter,1,Vodafone
130,Vodafone: How 5G Will Impact IoT's Future https://t.co/qFiFW7INGy https://t.co/wtdYdWAhwJ #5G #IoT,twitter,1,Vodafone
131,No os dejéis engañar. Ni @vodafone_es ni ninguna otra tiene ya 5G en España. Leeros el @mixx_io de hoy. https://t.co/leDDMJcsuw,twitter,-1,Vodafone
132,Vodafone lanza primera red 5G en España https://t.co/YJApEpzAdT https://t.co/UpGFi4Wu6R,twitter,-1,Vodafone
133,.@a_pinkwart eröffnet unser 5G-Opening @eGO_Mobile_AG im Produktionswerk des #eGOLife #5G @Vodafone_B2B @Ericsson_GmbH @H_Ametsreiter https://t.co/RwEGXpYhB3,twitter,-1,Vodafone
134,💥 Power Panel on #5G right now at Vodafone’s #Digital #innovation hub launch... @scottpetty @mattburgess1 @MischaDohler @ShafiAhmed5 @tamcgarrigan #5Gamechanger #5G @VodafoneUK @VodafoneUKBiz @TheLandingMCUK @MediaCityUK #GoBeyond https://t.co/VHjF6hBXEs,twitter,-1,Vodafone
135,"Seit Ende der #5G-Auktion haben wir bei @vodafone_de:- den ersten Videocall im 5G-Netz gemacht, - an einem tollen Beispiel gezeigt, wo 5G konkret den Menschen helfen kann (Blind Skiing), - eine Fabrikhalle zukunftssicher vernetzt. Für eine Woche nicht so ganz schlecht. https://t.co/QdYz5DvU7N",twitter,-1,Vodafone
136,"¿Tienes un Mi MIX 3 5G? ¡Pues ya tienes disponible la red #5G de @vodafone_es! Si querías ser el primero, ahora puedes serlo 😉 https://t.co/s6GbMqZPPs",twitter,-1,Vodafone
137,🏁 Congratulations to our Q1 winner Alexandro Letizia (Alex_RpM)! See you at @MilanGamesWeek for the Vodafone 5G #ESLMobileOpen Finals!Watch his victorious run here:https://t.co/YDwxJHXxSi,twitter,1,Vodafone
138,"Vodafone lanza 5G NSA en España. NSA son siglas que Vienen a significar ""esto no es 5G""",twitter,-1,Vodafone
139,Great coverage for #Vodafone and #5G.,twitter,1,Vodafone
140,"5G de Vodafone: descargarte series en segundos, jugar online y videollamadas sin cortes. https://t.co/ffK3M6hGqb https://t.co/EMMZWtdA70",twitter,-1,Vodafone
141,"De ce-și face reclama Vodafone la 5G, când ei nu sunt în stare nici pe cea 4G să o livreze cum trebuie? Ăștia sunt la fel de penibili ca Samsugi cu al lor telefon pliabil.",twitter,-1,Vodafone
142,LG V50 ThinQ 5G llega a España gracias a Vodafone https://t.co/Y9gZ7J5Cil https://t.co/PGDhSnH9Bp,twitter,-1,Vodafone
143,Vodafone: El 5G pone fecha (y precio) a la nueva TDT: 150 millones para la resintonización https://t.co/o7S2OtjTgo,twitter,-1,Vodafone
144,Vodafone switches on 5G in the UK on 3rd July 2019; 5G roaming this summer https://t.co/wJRW8g5O0q,twitter,-1,Vodafone
145,"Eye-opener: For the first time since going blind, visually impaired skier Noemi Ristau descends a piste on her own. Vodafone's #5G Ready technology teams with #Huawei to give her almost real-time instructions from her trainer. #HuaweiFacts https://t.co/me9AHCTpK1",twitter,-1,Vodafone
146,"TIM blocca la “fuga” di Vodafone: 5G pronto a Torino, Milano e Roma, attivazione questione di orehttps://t.co/D2ol46w0L6via @updayIT",twitter,-1,Vodafone
147,RT ESL: RT ESLPUBGMobile: Only ☝️ more qualifier to go before our Vodafone 5G #ESLMobileOpen June Final! Which teams will make it to MilanGamesWeek! We'll soon find out 👀 https://t.co/MGtWVDBulu,twitter,-1,Vodafone
148,Are you the fastest @Asphalt player in Qatar? The second round of qualifiers (Android) for Vodafone 5G #ESLMobileOpen starts today &amp; ends on 30 June. Don’t miss out on a chance to qualify &amp; win a trip to the finals in Milan.https://t.co/XyI6IHsypH https://t.co/CW5gC7FVGo,twitter,1,Vodafone
149,Non esistono solo le loro tariffe schifose a meno che non mi interessi un'offerta 5G o 4.5G (allora siete vincolati con TIM o Vodafone): esplorate il mondo degli operatori virtuali. Stessa rete e costi inferiori,twitter,-1,Vodafone
150,"En coopération avec la société de technologie chinoise #Huawei, la société de télécommunications anglaise Vodafone a récemment lancé son premier service commercial de réseau mobile #5G dans 15 villes espagnoles. https://t.co/BKmjh0Cuch",twitter,-1,Vodafone
151,Vodafone 5G #ESLMobileOpen es el primer torneo internacional 5G de videojuegos móviles del mundo.  📲 #PlayFasterEl sábado 30/06 se celebra el siguiente clasificatorio online de PUBG MobilePrepara tu sartén y apúntate aquí: https://t.co/XTX8ZmDOzL https://t.co/XUrSkl8byt,twitter,-1,Vodafone
152,"🤖 Now it's time for our Android racers to show if they can #playfaster on the streets of Rome! Check the ""Daily Events"" section in the game to play in our second qualifier for the Vodafone 5G #ESLMobileOpen Grand Finals at @MilanGamesWeek! More: https://t.co/RCQ675FwT9 https://t.co/MSreVHC4WC",twitter,-1,Vodafone
153,Time to catch up with the Vodafone 5G #ESLMobileOpen action from last Saturday with @verdipwnz! Only one more quali before our June Cup Finals... https://t.co/NIcuxZcEHd,twitter,-1,Vodafone
154,RT ESL: RT ESLPUBGMobile: Time to catch up with the Vodafone 5G #ESLMobileOpen action from last Saturday with verdipwnz! Only one more quali before our June Cup Finals... https://t.co/0Snye4CWfy,twitter,-1,Vodafone
155,"🤖 Android racers, this is your chance to #playfaster and qualify for the Vodafone 5G #ESLMobileOpen Grand Finals at @MilanGamesWeek! Check the ""Daily Events"" section in the game to play in our second qualifier this weekend. https://t.co/qUE34AVRTN",twitter,-1,Vodafone
156,Best of luck to all our players grinding it out in the Vodafone 5G #ESLMobileOpen! https://t.co/NslKYru2Sm,twitter,1,Vodafone
157,"Vodafone v Karlových Varech otestoval mobilní síť 5G, přiblížil se 1 Gb/s https://t.co/1zzZjtp5wt",twitter,-1,Vodafone
158,"Dnes se ze sci-fi stala realita a na filmovém festivalu si šéf Vodafonu Petr Dvořák povídal se svým kolegou Milanem Zíkou díky holografickému hovoru. I když seděli vedle sebe, ve skutečnosti je dělilo 120 kilometrů. #vodafone #5G #IFFKV2019 https://t.co/ki1vPEAiM6",twitter,-1,Vodafone
159,"Naše @Vodafone_CZ 5G produkční síť na KVIFF 2019 spuštěna s integrovaným non-standadalone core využívající nyní 80 MHz pásma, massive MIMO, 256 QAM dosahující reálně rychlosti blížící se magickému gigu na telefonech několika výrobců  #5G #kviff2019 #gigabit #futureisexciting https://t.co/xZZHMeALM3",twitter,-1,Vodafone
160,"Para ti, ¿qué es ser el primero? Para nosotros es arriesgarse, apostar, hacer algo cuando los demás no se atreven. Ahora puede ser tú quien sea el primero en este futuro #5G, ¿te atreves?⚡Consíguelo en @vodafone_es : https://t.co/ONLdC5oEX1 https://t.co/78mj8895F2",twitter,-1,Vodafone
161,"It's a #5Gamechanger!The world's least connected football club is now the most connected, powered by Vodafone #5G ⚽Find out how 5G can revolutionise the future: https://t.co/qqkEqKQCLS https://t.co/kOOm3UY6cz",twitter,-1,Vodafone
162,Some of the speed tests I got with 5G on Vodafone #Vodafone5G #VodafoneUK #5G @VodafoneUK https://t.co/BL437P4V1q,twitter,-1,Vodafone
163,Headed to Vodafone 5G launch in the Walkie Talkie building. Kind of hoping this is a deliberate nod from Vodafone. https://t.co/k560NNbUvC,twitter,-1,Vodafone
164,"Vodafone 5G NRARFCN is 629332, currently using Bandwidth of 40MHz hahaha!!",twitter,-1,Vodafone
165,😂😂 so EE came to prove a point at the Vodafone 5G event https://t.co/aeVYDuiI08,twitter,1,Vodafone
166,"Seamos sinceros, notarse, se nota #5G con @XiaomiEspana y @vodafone_es https://t.co/ErFqCwx96R",twitter,-1,Vodafone
167,Vodafone 5G devices https://t.co/LaxWIRlX0m,twitter,-1,Vodafone
168,Vodafone 5G launch...the thread https://t.co/aAUabBhWxj,twitter,-1,Vodafone
169,Thrilled to see that 5G is going live in Newbury after @VodafoneUK first indicated it would not come till the end of the year. These are the #5G sites that VF has been testing over the last few months that will now be available to all Vodafone consumers. https://t.co/WROjZY7HZv,twitter,1,Vodafone
170,Vodafone UK #5G road map #5GReinvent #Reinvent #5gamechanger https://t.co/Q6I429o8p4,twitter,-1,Vodafone
171,"Wow, World’s first rugby tackle using haptic technology over Vodafone 5G between Wasps rugby players Juan De Jongh and Will Rowlands #5GReinvent #Reinvent #5gamechanger @VodafoneUK https://t.co/B1pkdYv4XC",twitter,1,Vodafone
172,Vodafone introduces unlimited app-based pricing on 4G and 5G #Reinvent https://t.co/d48yYRanL4,twitter,-1,Vodafone
173,Huawei &amp; Vodafone ortaklaşa #5G projelerini ve tarifelerini tanıtıyor 👇 https://t.co/pG8cuycVob,twitter,-1,Vodafone
174,No one better than five times F1 champion @LewisHamilton to turn on Vodafone’s 5G network. He becomes a #5G Brand Ambassador for @VodafoneUK. #Reinvent #TeamLH https://t.co/wDJKtLRsNU,twitter,-1,Vodafone
175,Lewis Hamilton switching on #vodafone #5g https://t.co/CBeYE9BCIN,twitter,-1,Vodafone
176,5G is live in UK and so is Hatch. Fabulous to have F1 Champion Lewis Hamilton launch Hatch on Vodafone 5G network with Vodafone UK CEO Nick Jaffery @HatchDotLive @LewisHamilton @N5JFY @VodafoneUKComms https://t.co/LAsxbyNZPY,twitter,1,Vodafone
177,"Vodafone's site for 5G launch day at Sky Garden. Ericsson AIR6488 5G Massive MIMO, ERS 2217 L18 anchor, Baseband 6630*2 (one for 5G, one for L18) https://t.co/rNL8oBWdEX",twitter,-1,Vodafone
178,Vodafone switches on 5G network in seven UK cities https://t.co/ntd4zqqHAe https://t.co/vT6XmjNPaZ,twitter,-1,Vodafone
179,"NEWS: Today Vodafone launches their 5G network starting off in 7 cities, more than any other network: London - Glasgow - Cardiff - Manchester - Birmingham - Bristol - Liverpool!https://t.co/FdhR4cNGYV#5G #Vodafone #UnlimitedData #Network #Data https://t.co/grbwGxolGx",twitter,1,Vodafone
180,Vodafone using Huawei equipment as it launches 5G in the UK | Squawk Box... https://t.co/MdmVh796pc via @YouTube,twitter,-1,Vodafone
181,"Vodafone 5G goes live in UK, with Huawei https://t.co/CGo3x1Ng84",twitter,-1,Vodafone
182,Our Managing Director Vinod Kakkar with Anne Sheehan and Nick Jeffery from @VodafoneUK before the first partner panel debate at the #Vodafone 5G launch. https://t.co/1SoyuNHhBZ,twitter,-1,Vodafone
183,Vodafone 5G speed test ... Still need that 300 average tho. Location wasn't the best with the reinforced glass building https://t.co/O8szCA6FEN,twitter,-1,Vodafone
184,Vodafone lleva el 5G a sus tarifas prepago para móviles. https://t.co/IRHRjCRzCj https://t.co/VALGYwVmF6,twitter,-1,Vodafone
185,VODAFONE #5G IS NOW LIVE 🎉Thanks to @LewisHamilton for officially switching on our 5G network!#5Gamechanger https://t.co/wXCn2EGiPe,twitter,-1,Vodafone
186,"7 நகரங்களில், 3 அன்லிமிட்டட் ப்ளான்களுடன் 5ஜி சேவையைத் தொடங்கியது வோடஃபோன் நிறுவனம்!https://t.co/5wMBD3FLqB | #Vodafone | #5GNetwork | #VodafoneUKவிவரம்: https://t.co/T5YYT1zkEz https://t.co/N3vgZFv6zk",twitter,-1,Vodafone
