,Comment,Website,Sentiment,Company
28,"@AllRounderGGamer why are you downloading 5 times, brother? You said it right, it's because of people like you that others get lower speeds, and that's why Jio will soon stop giving unlimited 5G. Just because you got unlimited data doesn't mean you should waste it. Use it wisely, brother.",youtube,-1.0,Jio
29,"@dbtechnicala2z no, brother, I'm using 600 GB monthly. Yes, the speed has decreased a bit, but it's still running at 30 Mbps.",youtube,-1.0,Jio
30,Gives 3G speed in the name of 4G or 5G,youtube,-1.0,Jio
31,"Damn, 5 Mbps ",youtube,-1.0,Jio
32,"Yes, in some places, Jio 5G is slower than Jio 4G.""",youtube,-1.0,Jio
33,"No, bro, my 5G speed is 299+.",youtube,1.0,Jio
34,"No, bro, I get up to 1 Gbps speed here.",youtube,-1.0,Jio
35, Speeds have fluctuated; initial 5G speeds were good but have dropped. Issues with 4G speed as well.,youtube,-1.0,Jio
36,"I changed my mobile's Network Settings to 'Only NR' in Engineer Mode. After testing all the bands, I selected Band NR28. Like JIO had fixed on Band 3, I was getting 2.5G speeds.",youtube,1.0,Jio
37,"Bro, my phone shows a 5G network, but the net works on 4G. Once I use up 1.5GB of 4G, the net stops, but it still shows 5G (network selection shows Jio4G), but it always displays 5G.""",youtube,-1.0,Jio
38,"Bro, I have the same problem, for two days it's been running on 4G; 5G isn't coming at all.""",youtube,-1.0,Jio
39,"Jio network is getting very slow day by day_x000D_
Yes, but my problem is with Jio 4G. Whenever it drops from 5G to 4G, the speed is so slow, like 2G.",youtube,-1.0,Jio
40,"Here, the 5G speed is 50-60 Mbps, last 2 months average, and 4G here is 10 Mbps (2nd SIM) last 2-3 months, as far as I’ve noticed.",youtube,1.0,Jio
41,"@ankit-oi4ss I'm getting 500 Mbps average, been using it for 6 months. I downloaded Spiderman Miles Morales today at 300 Mbps, and the 80GB game downloaded in 30 minutes_x000D_
Jio loots from us. They're a third-class network provider. We're annoyed with its slow speed and poor coverage.",youtube,-1.0,Jio
42,"Fiber is the best option, bro.""",youtube,-1.0,Jio
43,"Yeah, very true. It was giving speed initially, but now...BAD",youtube,-1.0,Jio
44,"Watching video at 144p, on a 5G network with 20kb speed not working properly

@gamingxat don't know, bro. Maybe after 5G unlimited becomes available.""",youtube,-1.0,Jio
45,"@MaxShort-cr3kg bro, if you use more than 2GB net, then you get 5G unlimited. OK, I recharged for 350, and I got 5G.",youtube,1.0,Jio
46,"@gamingxat I know that, bro, we’re talking about poor speed.",youtube,-1.0,Jio
47,My YouTube doesn't even open; it's so slow on 5G.,youtube,-1.0,Jio
48,"Legends recharge with the 395 unlimited 3-month pack, and it works well with Jio ",youtube,1.0,Jio
49,"I've done the same, but after one month of recharge, 5G never worked again, only 4G.""",youtube,-1.0,Jio
50,395 unlimited free 5G for 3 months I quickly recharged this plan,youtube,1.0,Jio
51,"peed problems with mine too, man.""",youtube,-1.0,Jio
52,"Yes, the 395 one is the best. I use 3.83 GB daily
Someone tell Sagar that to get unlimited 5G data, you need to recharge for 299+ in Jio. 395 rocks! I'm getting 500+ Mbps since Jio 5G launched",youtube,1.0,Jio
53,"Bro, I don’t have the 395 plan; I have to recharge with 666 for 3 months._x000D_
_x000D_
This pack used to give free 5G, but now even after the 5G network, 4G data is used.",youtube,1.0,Jio
54,"I am facing most network issues with Jio 5G, even though I’m living in a city.""",youtube,-1.0,Jio
55,Jio 5G in my area is 1Mbps. BSNL 3G is 2Mbps ,youtube,-1.0,Jio
56,"You’re getting 1Mbps? I don’t even get that; YouTube doesn’t even open.""",youtube,-1.0,Jio
57,"In our area, Airtel 5G doesn’t have a signal, and Jio’s 5G doesn’t work inside the house",youtube,-1.0,Jio
58,"In Faridabad, Haryana, I get unlimited",youtube,1.0,Jio
59,"Inside our house, I get 500 KBps on Jio's 5G.",youtube,1.0,Jio
60,"
I’m from Maharashtra; this is absolutely true. . Airtel and Jio should take necessary action to resolve these issues.",youtube,-1.0,Jio
61,Companies won’t do anything; report it on the TRAI grievance portal.,youtube,1.0,Jio
62,"You get 1.5GB per day, and after midnight to 6 AM, unlimited. It’s a great plan. After midnight, I download 1-2 movies and watch them during the day ",youtube,1.0,Jio
63,"at else do you want, bro? 5G only works when you have a data pack; once 2GB is used up, 5G stops, and data runs out in the background without you noticing because it still shows 5G.""",youtube,1.0,Jio
64,"Brother, I’m from Bilaspur district in Chhattisgarh. Jio gives the best 5G network in our area ",youtube,1.0,Jio
65,The full 5G internet doesn't come through; I have to keep turning airplane mode on and off.,youtube,-1.0,Jio
66,"This month, my Jio 5G internet was down for several hours continuously for 5 days. I had to call Jio customer care more than 10 times.",youtube,-1.0,Jio
67,"I'm also facing a problem. Whenever I turn on my hotspot during the day, it switches from 5G to 4G, but when I turn it on between 12-5 AM, it works fine.",youtube,-1.0,Jio
68,"Everything is working fine for me....""",youtube,1.0,Jio
69,5G switches to 4G every time when I'm downloading a big file or playing PUBG.,youtube,-1.0,Jio
70,"Here it's like the BSNL situation. When the electricity goes out, Jio's tower disappears. With difficulty, one tower comes up. Forget YouTube, even Facebook's app doesn't load.",youtube,-1.0,Jio
71,"Brother, at my place, Jio gives 50-60 Mbps on the terrace and outside the house, but inside the house, it's just 1 Mbps, and in my room, only 4G works; 5G gets disconnected.""",youtube,-1.0,Jio
72,"When I play games with more than 30+ FPS, my Jio 5G network switches to 4G... and sometimes the 5G speed is so slow that YouTube, Instagram, and other apps don't load, and sometimes there's no internet at all.",youtube,-1.0,Jio
73,"Same problems happen to me, even though I was using a 4G phone, and the Jio speed in our area is 2-3 Mbps for 4G users, which isn't enough to run videos; sometimes even 480p videos struggle to load.",youtube,-1.0,Jio
74,"BSNL is the best. Airtel is second. Jio is third-class_x000D_
Near Ambani's house, you'll get unlimited 5G net and very high speed.",youtube,-1.0,Jio
75,"Initially, the speed was 2 Gbps, but now it's not even 1 Mbp_x000D_
I'm from Amritsar, Punjab. Near the Golden Temple, my Jio 5G works, but after using some GBs of data, it turns into 4G (even in the best network areas). Same inside my home, Jio 5G doesn't work properly. After using some MBs, 5G turns into 4G.",youtube,1.0,Jio
76,"I keep facing Jio internet down issues. Sometimes Twitter won't work, sometimes YouTube, sometimes Chrome.""",youtube,-1.0,Jio
77,Why can't we use TORRENT and VPN on Jio? It's a violation of user rights. But they're doing it purposefully anyway. Shame on Jio.,youtube,-1.0,Jio
78,"yes, sometimes Jio has issues with VPN, but it's okay for me on 5G.""",youtube,1.0,Jio
79,"I'm a Jio user here. 5G was working so well for the past month, but recently for 2 days, I'm facing problems like 'your 100% data is finished,' I don't know how because it was unlimited a few days back, and now for 2 days, it's not showing the 5G symbol; it says 4G.",youtube,-1.0,Jio
80,"Yes, Sagar bhai, you're right. After my 4G data finished, the 5G network didn't connect.""",youtube,-1.0,Jio
81,"Yes, speeds aren't good, but one thing: if you share your internet using a hotspot, it will consume data from the data pack. At that time, it won't give unlimited data. You'll get unlimited data only when you use it on your phone.",youtube,-1.0,Jio
82,"Bro, I've used 100GB this month using a hotspot...",youtube,1.0,Jio
83,"Jio 5G = BSNL 2G _x000D_
Jio 5G doesn't work here... sometimes VoLTE doesn't even work.",youtube,-1.0,Jio
84,Jio 5G runs on VoNR.,youtube,-1.0,Jio
85,"In my case, when I'm at home, the average Jio 5G speed is around 15 Mbps, and when I move five steps away from my home, I get 400+ Mbps. That's why I still use Jio Fiber even though I have 5G. I'm living in Vadodara, Gujarat.",youtube,-1.0,Jio
86,The only problem with my Jio 5G is that it only works in a specific part of my room.,youtube,-1.0,Jio
87,"Data doesn't finish quickly on Airtel, but it finishes very quickly on Jio.",youtube,-1.0,Jio
88,Even Jio 4G doesn't work properly in my room; it feels like I'm using 2G from school days.,youtube,-1.0,Jio
89,"Brother, it's not like that here; Jio 5G+ is beating local broadband with 350 Mbps speed. I've recharged for ₹395.",youtube,1.0,Jio
90,"Network switches happen due to VoNR capability. When you're on a call, the network switches from 5G to 4G, and this will continue until almost all mobiles are upgraded to 5G.",youtube,1.0,Jio
91,"Sagar bhai, let me create an Instagram page named 'India 5G Coverage' and upload test screenshots from everywhere because I'm currently on a Bharat Yatra (India tour) and now in Manipur.",youtube,1.0,Jio
92,"My 1.5 GB doesn't finish; how do I finish it? Unlimited is activated.""",youtube,1.0,Jio
93,"I knew there would be a video on this topic... Really, even 5G is in bad shape now, like 4G... What can these companies do.",youtube,-1.0,Jio
94,"But my unlimited 5G is still working after my data finishes_x000D_
I had this problem for a few days too. I thought it was a problem with my phone settings, so I reset my phone... even after that, and then today I saw your video! Now I understand what's going on.",youtube,-1.0,Jio
95,"Really, Jio 5G has made me sad; it's even slower than 3G.",youtube,-1.0,Jio
96,"Jio Internet  is the worst_x000D_
In our area, in some places, 5G gives 4-5 Mbps, and in some places, it gives 300-400 Mbps .",youtube,-1.0,Jio
97,"Jio 4G doesn't work at all in my area. What should I do? Tell me, brother.",youtube,-1.0,Jio
98,"My 5G speed has dropped to 90-130 Mbps, earlier it used to reach up to 400 Mbps. But Jio 4G+ speed was 22 Mbps.",youtube,-1.0,Jio
99,"I am from Maharashtra, Palghar, and I use Jio 5G. I have a plan with 2GB per day data limit, but with Jio 5G unlimited, I can download up to 60GB of 4K HDR movies..! ",youtube,1.0,Jio
100,"I live in a small town, it’s a tehsil, and we get really good 5G speed in almost every part of the city. The speed is even better on the outer sides of the city. I've personally experienced a speed of 30-70 MB per second.",youtube,1.0,Jio
101,"Yes, this accusation is true; the network slows down after data is consumed.",youtube,1.0,Jio
102,"Have you noticed that when there are a few days left before the recharge ends, the speed starts improving? ",youtube,-1.0,Jio
103,"Sometimes my 5G runs slow, sometimes 4G runs slow, and sometimes the internet just doesn’t work at all. If you call customer care to fix 5G, then 4G doesn’t work, and if you call for 4G, then 5G doesn’t work",youtube,-1.0,Jio
104,"At least you guys are able to use 5G; here, in my Samsung A34 5G, after 2 minutes of using 5G, it automatically shifts to 4G, and the speed is so bad, it’s like a RIP situation for me.💀",youtube,-1.0,Jio
105,Same thing is happening to me with my A34; even 4G+ doesn’t work properly.,youtube,-1.0,Jio
106,"Use a Xiaomi or Motorola phone, and select the NR Only mode to keep 5G active all the time.",youtube,1.0,Jio
107,"My Jio is giving 900 Mbps, and there’s no problem anywhere.",youtube,1.0,Jio
108,"Yes, me too ",youtube,1.0,Jio
109,io gives me 1.38 GB,youtube,1.0,Jio
110,"0.3 to 5 Mbps on a computer (laptop, desktop) via Jio True 5G.",youtube,1.0,Jio
111,"In my village, Jio 5G works full speed, unlimited",youtube,1.0,Jio
112,"In my village, Jio 5G unlimited works, but I have a 4G phone, so I have a Wi-Fi connection at home that’s fully unlimited.",youtube,1.0,Jio
113,Jio doesn’t work.,youtube,-1.0,Jio
114,"Jio has 4G, but not 5G.",youtube,-1.0,Jio
115,"BSNL has 3G, but it gives much better speed than Airtel or VI, around 6 to 8 Mbps.""",youtube,-1.0,Jio
116,"Bro, use the ""net master"" application to get unlimited data.",youtube,1.0,Jio
117,"What nonsense are you talking about, bro? Use a good phone. The reason 5G shifts to 4G is that your phone’s network mode is set to auto. Select Only 5G mode, then it won’t switch to 4G. However, the Only 5G feature is not available on all phones.",youtube,1.0,Jio
118,"It didn’t happen to me. I used unlimited 5G for almost 20 days in a village in West Bengal as a hotspot for WFH._x000D_
_x000D_
Now I’m back in Delhi-NCR. I haven’t faced this problem yet because I mostly use broadband. But yes, once, when I was traveling near Aravalli, I had some network issues.",youtube,1.0,Jio
119,"We are still getting 300 Mbps speed, but I’m still facing an internet issue. The internet goes down for 10 minutes, and then I have to turn airplane mode on and off.",youtube,-1.0,Jio
120,"n my village, Jio gives 40-42 GB speed per second. I use 50 GB in one day.",youtube,1.0,Jio
121,"Yes, bro, earlier the speed was 80 to 100 Mbps, but now I’m getting 100 kbps, which is so disappointing.",youtube,-1.0,Jio
122,I’m also facing this issue with Jio for the last 2 days; calls are also not coming.,youtube,-1.0,Jio
123,"In LUCKNOW, it’s working perfectly fine ",youtube,1.0,Jio
124,"What do I care? I use Jio Postpaid, and it’s unlimited 5G for me ",youtube,1.0,Jio
125,"Bro, when I bought a 5G phone in January 2023 and used 5G data, the speed used to reach 1800-1900 Mbps, but now it only reaches 800-900 Mbps._x000D_
Now it takes 15-20 minutes to download a 50 GB movie. .. Sagar Bhai, how can I increase the speed?",youtube,1.0,Jio
126,"800-900 Mbps is low; here, it’s hard to get even 50 Mbps.",youtube,-1.0,Jio
127,"Bro, I get 400 Mbps speed, and it works perfectly for me and all my friends. We’re from Lucknow, and we use 200 GB every month",youtube,1.0,Jio
128,"There’s an option called 5G/NR only in mobile connection settings. You can use that to avoid internet interruptions. Select the 5G only mode. But there’s one problem with this setting: in some cases, you may not be able to make or receive any phone calls. Keep that in mind.",youtube,1.0,Jio
129,Does everyone get 1.5 GB in Jio?,youtube,1.0,Jio
130,"Yes, sir.",youtube,1.0,Jio
131,"Jio shows no network connection, Flipkart doesn’t even work._x000D_
5G doesn’t work at all; it only shows 4G+, and the internet doesn’t work at all.",youtube,-1.0,Jio
132,"Bro, I have a 4G phone and a Jio 4G SIM, but I have a problem where the 1.5 GB data finishes too quickly ",youtube,-1.0,Jio
133,I think Jio’s network is the best.,youtube,1.0,Jio
134,Jio 5G range doesn’t even reach here.,youtube,-1.0,Jio
135,"Yes, 5G is not working; my location is Budge Budge (Kolkata), and 5G is not stable.",youtube,-1.0,Jio
136,"As long as Jio's 5G network is available, the 4G data never gets exhausted.",youtube,1.0,Jio
137,"Bro, my 5G speed is really good, reaching 1 Gbps, and during the day I get 700-800 Mbps",youtube,1.0,Jio
138,"For the last 4 days, 5G is not working properly. I’ve been using a Jio SIM for 10 months with a recharge of ₹1559",youtube,-1.0,Jio
139,"Then I’m lucky; with a ₹395 recharge, I’m using unlimited 5G for 84 days. I used 320 GB data last month by using a hotspot on my laptop, and 200 GB so far this month (I live in Ghaziabad).""",youtube,1.0,Jio
140,"You’re going to get the unlimited 5G shut down, you keep saying the same thing over and over.""",youtube,1.0,Jio
141,"Everything works fine near the 5G tower, but as soon as I go to a crowded area, both 5G and 4G turn into 2G.",youtube,-1.0,Jio
142,"I’m facing the same issue. In my case, after exhausting the daily data quota, the network stays on 5G but the internet doesn’t work. Don’t know why Jio is doing this. I will switch to Airtel very soon, or to BSNL 4G when it's available everywhere.",youtube,-1.0,Jio
143, get more than 900 Mbps in Madhya Pradesh ,youtube,1.0,Jio
144,"Neither Jio nor Airtel provides constant speed, bro....but I use 10GB of data daily with Jio 5G, using the ₹239/28 days pack....and I don’t live in a big city area.""",youtube,1.0,Jio
145,"My Jio 5G gives 500-600 Mbps inside the home and 1 Gbps outside.""",youtube,1.0,Jio
146,"Bro, mine is working fine at 600+ Mbps, depending on the area I guess.""",youtube,1.0,Jio
147,"Bro, my internet runs slower than a snail, with a Jio SIM that claims to be Taru 5G _x000D_
Neither 5G nor 4G is working; 5G works sometimes, but only after I switch airplane mode on and off, and even then, it runs at 500 kbps....",youtube,-1.0,Jio
148,"Sir, I have a 5G phone. I recharged my Jio 5G SIM on June 27, but my unlimited data isn’t working. Instead, my 1.5GB data limit is running out.""",youtube,-1.0,Jio
149,I have both Vi and Jio.,youtube,1.0,Jio
150,Vi 4G is better than Airtel and Jio 5G.,youtube,1.0,Jio
151,I get 50-60 Mbps speed from Jio 5G.,youtube,-1.0,Jio
152,"My Jio 5G has 90 Mbps download speed, and at home, it’s 58 Mbps.",youtube,-1.0,Jio
153,My Jio 5G speed is 800 Mbps on average.,youtube,1.0,Jio
154,I get 600-800 Mbps outside home and 100-200 Mbps inside home with Jio 5G.,youtube,1.0,Jio
155,"I have both; Vi speed is 4 Mbps, and Jio 5G speed is 30 Mbps.",youtube,-1.0,Jio
156,"I know Vi 4G is faster, but Jio 4G has more traffic than Vi, so of course, it will be slower. But they are saying that 4G is faster than 5G.",youtube,1.0,Jio
157,"Airtel and Jio in city 5G service = strong, village service = weak.",youtube,-1.0,Jio
158,And Jio 4G speed is 800 kbps to 1.5 or 2 Mbps.,youtube,1.0,Jio
159,Jio's 4G + goes up to 90 Mbps at night and stays at 30 Mbps during the day. And Vodafone doesn't even support 4G+.,youtube,-1.0,Jio
160,"I am on Jio 5G, getting 700 Mbps to 1 Gbps speed after 12 AM.",youtube,1.0,Jio
161,I get 280+ Mbps speeds from Jio 5G,youtube,1.0,Jio
162,"Yes, I have Vi, and my roommate has Jio 5G, and his internet speed is far slower than my 4G. Also, a friend who lives in the same building has Jio and always complains about it. I have a dual SIM, one Vi, one Jio. Vi internet works great, but Jio sucks. I only recharge Jio because when I travel, it helps me due to its wide network availability.",youtube,1.0,Jio
163,"Vi speed goes up to 8 MBps, and my Jio 5G goes up to 80 MBps.",youtube,-1.0,Jio
164,"My Jio download speed is 34 Mbps, not on Ookla; on Ookla, it's 500 Mbps. 34 is the real download speed of content",youtube,1.0,Jio
165,"It should be a 5G+ network, or it won’t work. Switch to Jio; it will work.",youtube,-1.0,Jio
166,"Jio is still better; when it shows 5G, it actually works, and data isn’t deducted from 4G, but on Airtel, 5G shows, and 4G data gets deducted.",youtube,1.0,Jio
167,"Just port to Jio, screw Airtel.",youtube,-1.0,Jio
168,I have unlimited data working on both Jio and Airtel.,youtube,1.0,Jio
169,"Yes, bro, Jio gives unlimited data.",youtube,-1.0,Jio
170,Jio 5G is best if you force it to 5G-only mode; it works great.,youtube,1.0,Jio
171,"Until 5G+ shows up, data will keep getting used up; Jio doesn’t have this issue.",youtube,-1.0,Jio
172,This is why I’m porting my SIM to Jio ,youtube,1.0,Jio
173,"Today, I used 81GB, and then it stopped giving me unlimited data ",youtube,-1.0,Jio
174,Jio is better than Airtel.,youtube,1.0,Jio
175,"Bina officially launch kiye, Jio 5G unlimited free net with 1Gbps de raha hai bro, maza aa gaya bro garb ",youtube,1.0,Jio
176,"@MAGNETO_16, maybe your device doesn’t support NSA 5G; you should continue using Jio.",youtube,1.0,Jio
177,Jio is best forever...,youtube,1.0,Jio
178,You get unlimited 5G on Jio with a 239 recharge.,youtube,1.0,Jio
179,"@Subheditz07, I switched to Jio, bro. It's working great.",youtube,1.0,Jio
180,"Jio is better because Jio's owner is very big, they won't cheat. Airtel got scared when 300GB was used.",youtube,1.0,Jio
181,"@spiderbhau, just switch to Jio.",youtube,1.0,Jio
182,"@spiderbhau, if you have it, then use Jio.",youtube,1.0,Jio
183,"@spiderbhau, you get free 5G on Jio with a 239 recharge.",youtube,1.0,Jio
184,"@spiderbhau, maybe after getting a new SIM, 5G will work after 4-5 days.",youtube,1.0,Jio
185,"@spiderbhau, I’ve switched to Jio now. It’s working.",youtube,1.0,Jio
186,Jio is always better than Airtel.,youtube,1.0,Jio
187,"@satyaprakash-pq7rt, brother, but my Mi 10i phone isn't supporting Jio 5G.",youtube,-1.0,Jio
188,"4:35, right brother, over there 5G is running on the 4G band, that's why it's consuming data.",youtube,1.0,Jio
189,"Is your mobile JIO 5G? If yes, then try updating your mobile.",youtube,1.0,Jio
190,Take out the SIM and put it back; it’s 100% working.,youtube,1.0,Jio
191,Same thing.,youtube,1.0,Jio
192,Jio is the best.,youtube,1.0,Jio
193,Jio has no issues like that.,youtube,1.0,Jio
194,"Let’s switch to Jio, brother!",youtube,1.0,Jio
195,Jio is best for unlimited 5G.,youtube,1.0,Jio
196,"Brother, if I switch to Jio from Airtel, will I get unlimited 5G on Jio or not?? Please suggest me.",youtube,1.0,Jio
197,You will get it.,youtube,1.0,Jio
198,You’ll get it very well.,youtube,1.0,Jio
199,Jio 5G is much better.,youtube,1.0,Jio
200,"@atulkahar4111, you’re absolutely right, brother.",youtube,1.0,Jio
201,"Guess the problem is such that they offer a certain amount of data after your daily data is exhausted, but if you use more, it’s likely to crash 😔.",youtube,-1.0,Jio
202,Use Jio SIM.,youtube,1.0,Jio
203,"In my Jio SIM, if 4G is running, it shows 4G, and if 5G is running, it shows 5G.",youtube,1.0,Jio
204,"Brother, in my Jio, even after 5G comes, data is being deducted from 4G.",youtube,-1.0,Jio
205,"You have to activate it, meaning you have to claim it, then 5G will work.",youtube,1.0,Jio
206,Jio is the best SIM.,youtube,1.0,Jio
207,1500MB bhopal india at just 239 unlimited for 30days,instagram,-1.0,Jio
208,"""A standard  SSD will provide a read/write speed of between 200 MB/s to 550 MB/s. At the same time, an NVMe m. 2 SSD can offer speeds exceeding 5000 MB/s. "" You maxed out your ssd's write seed . File server also  limmining factor .You are getting  5Gbitps  download speed,  +1 Gbps upload  , line capable , hardware not , deam good results anyway!",instagram,-1.0,Jio
209,"I am getting 500-700 Mbps 5g internet in Jalandhar Punjab
I don't even live in any major city 
This guy is showing off like 5g is only available in America",instagram,-1.0,Jio
210,"I am using Unlimited 5G since 4-5 months,( 500 - 700 Mbps consistent ) 
That much speed is useless for a person just wanted explore internet.
Many time the website doesn't support that much downloading speed, maximum download speed I seen is 60-70 MBps while downloading Windows ISO file.",instagram,-1.0,Jio
211,"I'm getting 900to 1000 mbps on jio 5g for free unlimited. That's something out of the world. Bro india kaafi aage hai, usa mein impossible hai free internet wo bhi is speed par.",instagram,-1.0,Jio
212,Well in india we get 1gbps constant speeds but the best part is in India  5G Data is Unlimited with no capping at all i dont think other country provide this kinda service,instagram,-1.0,Jio
213,"The United States is an archaic country and underdeveloped on the subject of high-speed internet, only 30% of the American territory is connected, the rest is still alive 25 years ago, European countries like France have the best speed/coverage in the world with Japan, China and South Korea, how come the USA is so late when they are the ones who created the internet??? the joke of the century, thank you to the right-wing watchdog government!!!!",instagram,-1.0,Jio
214,You’re always going to be limited by where you’re pulling files from. If you saw that 10gb file you were downloading was from Germany. How far the data has to travel has a lot to do with your overall speed.,instagram,-1.0,Jio
215,By watching ur video i can understand u dont know anything,instagram,-1.0,Jio
216, 8 mbps = 1 mbps so basically 125 x 8mbps=1mbps if ur internet speed is 1gbps = 125mbps in this video he got 40 mbps mean its 320 mbps only ,instagram,-1.0,Jio
217,Good Vl,instagram,1.0,Jio
218,Bro depending server,instagram,-1.0,Jio
219,"You pay for 5 Gbps but get 4 Gbps, that's totally unacceptable.",instagram,-1.0,Jio
220,"I use a 40 Mbps plan of Airtel Xstream Fiber in New Delhi, India.",instagram,-1.0,Jio
221,No matter how much it shows for bandwidth speed at the end. Mobile phones support only a limited speed about 40-60mbps for download at the end😅,instagram,-1.0,Jio
222,This is speed like Come to India and see the magic. ,instagram,1.0,Jio
223,bro why you didnt tried with cat-8 cable.if u tried max problem resolved.instead of using free download manager use neat download manager.if u seen this must replyz,instagram,-1.0,Jio
224,200 mbps plan is more than enough,instagram,1.0,Jio
225,"My village in India have Almost 
1 gbps mobile data in jio 5g",instagram,-1.0,Jio
226,Worst that's website server limitations,instagram,-1.0,Jio
227,And my internet still ,instagram,-1.0,Jio
228,Verizon 5G averages at 3 - 5 GBPS,instagram,-1.0,Jio
229,In india your lan port output is 1gbps max,instagram,-1.0,Jio
230,There are very few websites that supports internet speed beyond 200-300mbps.    So no need to go beyond 200mbps plans.   Only if there are multiple users 1gbps plan is good then.,instagram,-1.0,Jio
231,in india jio 5g trail speed goes up 6.5gbps,instagram,1.0,Jio
232,bad experience,instagram,-1.0,Jio
233,270mbps in airtel 4g+,instagram,-1.0,Jio
234,Jio 5g is awesome but plan price is high,instagram,1.0,Jio
235,Although speed but still jio best,instagram,1.0,Jio
236,After price hike jio seed in 5g and 4g improve in west Bengal circle.,instagram,1.0,Jio
237,Jio is best hai guy's internet,instagram,1.0,Jio
238,It's a good comparison video and like jio 5g a lot and is providing better speed in my area,instagram,1.0,Jio
239,Jio is best hai guy's internet,instagram,1.0,Jio
240,Using jio 4g but I support jio❤,instagram,-1.0,Jio
241,Hmare yaha Jio best hai,instagram,1.0,Jio
242,Jio 5g speed is very nice,instagram,1.0,Jio
243,Jio shi ma bad network da rha hai,instagram,-1.0,Jio
244,Jio best,instagram,1.0,Jio
245,Jio recharge 300 plan 😢,instagram,1.0,Jio
246,"Jio ka internet ghar ke ander bhilkhul bekar hai 
Odisha kjr",instagram,-1.0,Jio
247,"Jio5g download speed 750mbps,upload 500mbps in pune city...outdoor.",instagram,1.0,Jio
248,Jio 4g Speed is better than 5g speed currently 😢,instagram,1.0,Jio
249,Jio .303 mbps in Haryana,instagram,-1.0,Jio
250,My jio 5g speed 368MBPS in West Bengal (Siliguri),instagram,-1.0,Jio
251,Before price hike my jio 5g speed was 1.3gbps but after price hike my jio 5g speed is 30 Mbps area is new Delhi,instagram,-1.0,Jio
252,High speed internet hai jio ka,instagram,1.0,Jio
253,My jio speed test=376.86 Mbps 5g in okla web,instagram,-1.0,Jio
254,I like jio💗,instagram,1.0,Jio
255,Close to 900 mbps downloading speed of Jio in Jamshedpur,instagram,-1.0,Jio
256,jio 5g with 1.5 gbps,instagram,-1.0,Jio
